,i_type,incident_with,date,p_type,details,incident_effect,injury,trip_purpose,regular_cyclist,helemt,intoxicated,road_conditions,sightlines,card_on_roadside,riding_on,bike_lights,terrain,direction,turning,age,birthmonth,sex,pk,longitude,latitude,datetime,seconds
71,Near collision with moving object or vehicle,Another cyclist,2015-06-11T07:30:00,nearmiss,Several cyclist running red light on Tillicum. around traffic island head and behind traffic and crossed Tillicum head on to on coming cyclists and pedestrians waiting for walk signal to cross Tillicum. ,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Mixed use trail,NL,Flat,W,Heading straight,1961.0,9.0,M,1101,-123.390348,48.45827006,2015-06-11 07:30:00,1434029400
72,Near collision with moving object or vehicle,"Vehicle, head on",2015-07-15T12:40:00,nearmiss,Car with a canoe on roof veered into bike lane and almost hit me. Maybe canoe was obstructing his vision?,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Uphill,E,Heading straight,,,F,1348,-123.35980829999998,48.47054727,2015-07-15 12:40:00,1436985600
73,Near collision with moving object or vehicle,"Vehicle, side",2012-01-25T16:30:00,nearmiss,"Car stopped for pedestian at road cross walk for galloping goose. Pedestrian changed their mind about crossing, driver floored it without bothering to look the other way as I entered the crosswalk. Hard veer threw me off bike and onto road in front of car. Driver looked at me on ground and drove off",,"Injury, no treatment",Commute,Y,Y,N,Dry,No obstructions,N,Quiet street bike lane,FB,Flat,SW,Heading straight,1974.0,8.0,Other,1397,-123.37881979999999,48.45625648,2012-01-25 16:30:00,1327534200
74,Near collision with stationary object or vehicle,"Vehicle, angle",2015-08-06T16:55:00,nearmiss,Driver ran light headed sw through intersection almost hit bus headed through intersection then almost hit me as he finally slowed realizing he ran a red light. He was close enough to me I could have poked him in the eye thru his window. Clueless driver and I was cm away from being hit badly. As I was already turning thru intersection I did not see him and if it weren't for the bus driver honking I suspect he would have hit me blindsided.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",,Flat,SE,Turning left,,,,1479,-123.31540700000001,48.45874498,2015-08-06 16:55:00,1438901700
75,Near collision with moving object or vehicle,"Vehicle, angle",2015-09-01T09:00:00,nearmiss,"I was proceeding on Pandora through intersection on green light. Car approaching from other street (Douglas) did a rolling right turn on red without stopping, almost hitting me. The car did stop short of hitting me but was fully in the pedestrian intersection at that point.",,No injury,Personal business,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,W,Heading straight,,,M,1595,-123.36450759999998,48.42804369,2015-09-01 09:00:00,1441119600
76,Near collision with moving object or vehicle,"Vehicle, side",2015-09-11T09:25:00,nearmiss,A car failed to give way while turning left nearly hitting two cyclists,,No injury,Commute,,,,,,,,,,,,,,,1613,-123.3557153,48.43065282,2015-09-11 09:25:00,1441985100
77,Near collision with moving object or vehicle,"Vehicle, side",2015-09-30T07:25:00,nearmiss,"A driver in a grey SUV, who was on his cell phone, approached the stop sign /  cross walk at a high rate of speed. He slowed, looked the opposite way, but not mine, and continued through, nearly hitting me.  I avoided a collision by maneuvering around him. ",,No injury,Commute,Y,N,N,Dry,View obstructed,I don't know,Mixed use trail,NL,Flat,S,Heading straight,1979.0,12.0,M,1712,-123.37725879999999,48.45383367,2015-09-30 07:25:00,1443619500
78,Near collision with moving object or vehicle,"Vehicle, angle",2015-10-02T19:15:00,nearmiss,"I was turning left from Gordon Head road, and a car started making a left turn ONTO Gordon Head as I was mid maneuver.  Car slammed on the brakes right before impact. ",,No injury,Commute,Y,N,N,,,,,,,,,1992.0,3.0,M,1734,-123.31588980000001,48.47218152,2015-10-02 19:15:00,1443834900
79,Near collision with moving object or vehicle,"Vehicle, side",2015-10-03T14:40:00,nearmiss,"The Galloping Goose is clearly marked ""Slow Yield to Traffic"".  A cyclist did not yield and almost slammed into the side of my vehicle.  The intersection is marked as a crosswalk so drivers are looking for pedestrians, not cyclists moving at high speeds. ",,No injury,Exercise or recreation,,,,,,,,,,,,,,,1751,-123.38068659999999,48.45617821,2015-10-03 14:40:00,1443904800
80,Near collision with moving object or vehicle,"Vehicle, side",2015-10-27T12:15:00,nearmiss,"Older driver turned into Fairway parking lot, crossed bike lane directly into me.  He was moving very slowly so I was not knocked off my bike or injured.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Uphill,E,Heading straight,1991.0,11.0,F,1938,-123.3319777,48.460931,2015-10-27 12:15:00,1445969700
81,Near collision with moving object or vehicle,"Vehicle, side",2015-11-05T11:50:00,nearmiss,"Headed straight across View on Cook. Truck crossing Cook eastbound, headed through gap in cars in left lane, saw me and accelerated as I was abeam of his bumper. Had to pedal quickly to avoid getting hit.",,No injury,During work,Y,Y,N,Wet,Obstruction on road,N,"Busy street, no bike facilities",NL,Flat,N,Heading straight,1982.0,8.0,M,1956,-123.3537912,48.42419086,2015-11-05 11:50:00,1446749400
82,Near collision with moving object or vehicle,"Vehicle, side",2015-05-27T12:35:00,nearmiss,The road plus bike lane were not wide enough for my bike and a semi.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,E,Heading straight,1975.0,4.0,F,1004,-123.36120840000001,48.47047436,2015-05-27 12:35:00,1432751700
83,Near collision with moving object or vehicle,"Vehicle, angle",2015-05-27T21:00:00,nearmiss,"Car turned from right southbound lane, to right turn lane for saanich rd and crossed bike path without yielding.  Driver changed mind from going straight to performing a right turn.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Quiet street bike lane,NL,Flat,S,Heading straight,,,,1041,-123.372578,48.455577000000005,2015-05-27 21:00:00,1432782000
84,Near collision with moving object or vehicle,Another cyclist,2015-06-11T16:05:00,nearmiss,older age cyclist tried to avoid me by turning into me. She stopped and i swerved.,,No injury,Commute,,,,Dry,No obstructions,N,Mixed use trail,NL,Flat,W,Heading straight,,,,1103,-123.3132935,48.46363804,2015-06-11 16:05:00,1434060300
85,Near collision with moving object or vehicle,"Vehicle, side",2012-07-18T08:00:00,nearmiss,18 wheeler passed so close it pushed me up onto the sidewalk - brushed against elbow. ,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Downhill,NE,Heading straight,1974.0,8.0,F,1398,-123.3925152,48.45547735,2012-07-18 08:00:00,1342620000
86,Near collision with moving object or vehicle,Another cyclist,2015-08-04T16:50:00,nearmiss,Blind corner thanks to big clump of ornamental grass. Trim the grass please!,,No injury,Commute,Y,,,,,,,,,,,,,,1480,-123.3131325,48.46212802,2015-08-04 16:50:00,1438728600
87,Near collision with moving object or vehicle,"Vehicle, side",2014-06-26T16:35:00,nearmiss,"Full size Transit bus nearly ran me off the road.  I was westbound approaching the Blenkinsop intersection  in the bike lane with centre point of the bus immediately to my left travelling at same speed, about 25kph.   Bus drifted across half the bike lane!",,No injury,Commute,,,,Dry,No obstructions,N,Busy street bike lane,,,W,Heading straight,,,,1596,-123.3507371,48.47208194,2014-06-26 16:35:00,1403822100
88,Near collision with moving object or vehicle,"Vehicle, side",2015-09-14T08:00:00,nearmiss,cars consistently drift into the bike lane at the top of the hill. Potentially road line painting is encouraging this (top of hill so restricted visibility and also bend),,No injury,Commute,Y,Y,N,,,,,,,,,,,,1619,-123.34631680000001,48.44839705,2015-09-14 08:00:00,1442239200
89,Near collision with moving object or vehicle,"Vehicle, angle",2015-09-14T17:25:00,nearmiss,"Motorbike turned into camosun without looking, luckily I have cat like reflexes and barely dodged it. ",,No injury,Commute,Y,Y,N,,,,,,,,,,,,1635,-123.3207715,48.44781706,2015-09-14 17:25:00,1442273100
90,Near collision with moving object or vehicle,"Vehicle, angle",2015-10-14T09:25:00,nearmiss,I was turning left on a left-turn green. car from opposite direction turning right failed to give me right of way.,,No injury,Commute,Y,N,N,Dry,No obstructions,N,Busy street bike lane,NL,Flat,SW,Turning left,1983.0,2.0,M,1778,-123.319425,48.46853596,2015-10-14 09:25:00,1444836300
91,Near collision with moving object or vehicle,"Vehicle, side",2015-11-01T16:05:00,nearmiss,I was biking to Fujiya and this idiotic driver decided to overtake me without giving me some space (1 metre) so it passed right next to me. I swear there are more impatient drivers these days.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,S,Heading straight,1994.0,2.0,M,1914,-123.33323840000001,48.45987802,2015-11-01 16:05:00,1446419100
92,Near collision with moving object or vehicle,"Vehicle, side",2015-05-09T11:25:00,nearmiss,"Group of cyclists failed to notice eastbound yield sign on left side of trail.  Southbound motorist noticed approaching cyclists and had to stop quickly to avoid a collision.  No crosswalk signs on Harriet, only paint markings.  Yield sign for southbound traffic is at the far side of markings. ",,No injury,Exercise or recreation,,,,Dry,View obstructed,N,Mixed use trail,NL,Flat,E,Heading straight,,,,931,-123.3807456,48.45616042,2015-05-09 11:25:00,1431192300
93,Near collision with moving object or vehicle,"Vehicle, side",2015-05-27T12:05:00,nearmiss,,,No injury,Personal business,,,,,,,,,,,,,,,1005,-123.35938449999999,48.42658067,2015-05-27 12:05:00,1432749900
94,Near collision with moving object or vehicle,"Vehicle, rear end",2015-06-12T09:10:00,nearmiss,"Headed straight through intersection, had to dodge right as van barrelled up behind me.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,W,Heading straight,1982.0,8.0,M,1104,-123.3593953,48.42755602,2015-06-12 09:10:00,1434121800
95,Near collision with moving object or vehicle,"Vehicle, side",2015-06-19T14:05:00,nearmiss,,,No injury,Exercise or recreation,Y,Y,N,Dry,View obstructed,Y,"Busy street, no bike facilities",,Flat,S,Heading straight,,,F,1374,-123.37713000000001,48.46050768,2015-06-19 14:05:00,1434744300
96,Near collision with moving object or vehicle,Pedestrian,2015-07-22T16:00:00,nearmiss,Pedestrians were walking along the sidewalk and suddenly turned and crossed (at a crosswalk)  without looking. I had to brake hard and nearly piled into them and went over the bars. I was upset with them and I expressed my displeasure.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Downhill,E,Heading straight,1987.0,9.0,M,1399,-123.36385870000001,48.41783888,2015-07-22 16:00:00,1437602400
97,Near collision with moving object or vehicle,"Vehicle, side",2015-09-09T08:00:00,nearmiss,Two close passes this morning within 1 foot. I ride this every day and often get close passed here regardless of lane position. ,,No injury,Commute,Y,Y,N,Dry,No obstructions,Y,"Busy street, no bike facilities",FB,Flat,E,Heading straight,1991.0,5.0,M,1574,-123.3697218,48.42774825,2015-09-09 08:00:00,1441807200
98,Near collision with moving object or vehicle,Pedestrian,2015-06-10T16:45:00,nearmiss,"A toddler suddenly darted out in front of me from a side trail increased by bushes.  I managed to swerve to avoid him, but if I had been any closer I would not have been able to avoid a collision.",,No injury,Commute,,,,Dry,View obstructed,N,Mixed use trail,NL,Flat,SW,Heading straight,,,,1597,-123.37493059999998,48.45927682,2015-06-10 16:45:00,1433976300
99,Near collision with moving object or vehicle,"Vehicle, side",2015-09-10T16:30:00,nearmiss,cars drift into bike lane at crest of hill at bend (both directions),,No injury,Commute,Y,Y,,Dry,No obstructions,N,Busy street bike lane,B,Uphill,E,Heading straight,,,,1620,-123.3478242,48.44792025,2015-09-10 16:30:00,1441924200
100,Near collision with moving object or vehicle,"Vehicle, side",2015-10-28T08:30:00,nearmiss,"Vehicle turning right from Rebecca St. onto Pandora Ave failed to yield, causing me to nearly collide with the side of the vehicle. ",,No injury,Commute,Y,Y,N,Wet,No obstructions,Y,Busy street bike lane,FB,Downhill,W,Heading straight,1979.0,5.0,M,1894,-123.3517939,48.42709327,2015-10-28 08:30:00,1446042600
101,Near collision with moving object or vehicle,"Vehicle, angle",2015-11-09T09:00:00,nearmiss,"Going west along Yates 2 lanes turn right so when I try to go directly through the intersection I have to merge into the middle of the road through busy traffic. Today was another close call - it is bit of a sketchy section of road to go down, but it still the most practical way to get downtown.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Flat,W,Heading straight,1985.0,4.0,M,1963,-123.3640838,48.42623538,2015-11-09 09:00:00,1447084800
102,Near collision with moving object or vehicle,"Vehicle, head on",2015-03-19T16:05:00,nearmiss,"I was nearly hit head-on by car. Driver didn't stop at stop sign at bottom of Wende, as he cut corner turning left southbound onto Braefoot at ~60km/h in the oncoming lane (the lane I was in). Evasive action by both parties narrowly avoided collision. Reported incident to police w/ license plate #.",,No injury,Commute,Y,Y,N,Wet,No obstructions,N,"Quiet street, no bike facilities",FB,Downhill,N,Heading straight,1978.0,11.0,M,932,-123.34544779999999,48.46629158,2015-03-19 16:05:00,1426802700
103,Near collision with moving object or vehicle,Another cyclist,2015-06-17T06:20:00,nearmiss,"As I started to make a left turn onto Cook from Caledonia from the left turn lane, another cyclist decided to turn left beside me with no warning and cut me off on the right.   ",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Quiet street, no bike facilities",NL,Don't remember,W,Turning left,1969.0,6.0,F,1134,-123.35286140000001,48.4304535,2015-06-17 06:20:00,1434543600
104,Near collision with moving object or vehicle,"Vehicle, head on",2015-07-20T17:20:00,nearmiss,car speeding uphill turned left almost into me,,No injury,Commute,,,,Dry,No obstructions,Y,"Busy street, no bike facilities",NL,Downhill,S,Heading straight,,,,1377,-123.3314037,48.4629195,2015-07-20 17:20:00,1437434400
